ID arbol,Altura M,Altura Media M,Area de Copa m2,Volumen de copa m3,Biomasa (AGB) kg
408,15.6862755,8.862386,44.18070292,391.54642,19.577322
409,15.6862755,8.492697,70.1510927,595.772,29.788599
410,15.6862755,7.137583,65.90891748,470.43033,23.521517
411,15.6862755,7.1332173,73.25512335,522.54474,26.127237
412,15.6862755,8.723747,44.90497674,391.73965,19.586983
413,15.6862755,10.595183,33.7304664,357.38046,17.869024
414,15.6862755,4.833912,78.22157239,378.1162,18.905811
415,15.6862755,9.754274,29.07442042,283.59988,14.179995
416,15.686274,8.729034,47.49166895,414.55643,20.727821
417,15.6862755,6.900368,56.59682552,390.53894,19.526947
418,15.6862755,9.291747,34.86861097,323.99033,16.199516
419,15.6862755,9.114798,28.55708198,260.29202,13.014602
420,15.6862755,8.288532,43.55989679,361.0476,18.052382
421,15.6862755,7.6164103,93.43132257,711.6113,35.580566
422,15.6862755,9.860334,24.0045037,236.69244,11.834622
423,15.6862755,9.079156,72.63431722,659.45825,32.97291
424,15.6862755,8.824736,20.90047305,184.44116,9.222058
425,15.6862755,6.937099,56.59682552,392.61777,19.630888
426,15.6862755,8.851554,52.87198874,467.99927,23.399963
427,15.6862755,10.316503,34.45474022,355.45242,17.772621
428,15.686274,7.8494716,54.21706869,425.57532,21.278767
429,15.6862755,12.797111,4.966449041,63.556194,3.1778097
430,15.6862755,10.021833,23.59063294,236.42139,11.82107
431,15.6862755,10.368787,38.38651238,398.02155,19.901077
432,15.6862755,9.921389,30.62643575,303.85675,15.192838
433,15.6862755,9.873578,32.07498339,316.69482,15.834742
434,15.6862755,9.331472,57.83843778,539.7178,26.98589
435,15.686274,7.3762045,78.01463701,575.4519,28.772596
436,15.686274,10.251541,36.31715861,372.30685,18.615343
437,15.6862755,8.569975,57.7349701,494.78723,24.739363
438,15.6862755,9.482377,57.83843778,548.44586,27.422293
439,15.6862755,9.794837,36.73102936,359.77444,17.988722
440,15.686274,7.980178,47.0777982,375.6892,18.78446
441,15.6862755,9.480858,38.69691544,366.87994,18.343998
442,15.6862755,5.6794047,64.56383753,366.68414,18.334208
443,15.6862755,10.973964,40.76626921,447.36755,22.368378
444,15.6862755,9.012661,35.59288479,320.7866,16.03933
445,15.6862755,10.155947,37.14490012,377.24164,18.862082
446,15.686274,9.187786,41.90441378,385.00876,19.250439
447,15.6862755,9.004232,56.07948708,504.95273,25.247637
448,15.6862755,9.300892,39.31772157,365.68988,18.284494
449,15.686274,7.712671,57.21763165,441.30075,22.065039
450,15.686274,10.443726,34.24780484,357.67465,17.883734
451,15.686274,8.57067,60.42512999,517.88385,25.894194
452,15.6862755,9.796076,37.35183549,365.9014,18.29507
453,15.686274,8.76218,46.56045975,407.97113,20.398558
454,15.6862755,9.486653,48.8367489,463.29727,23.164864
455,15.6862755,9.525726,26.48772822,252.31485,12.615743
456,15.6862755,9.881968,33.31659565,329.2335,16.461676
457,15.686274,8.288743,57.94190547,480.2656,24.01328
458,15.6862755,9.5706835,52.97545643,507.01132,25.350567
459,15.6862755,10.5455675,32.48885414,342.6134,17.13067
460,15.6862755,12.184644,12.10571954,147.50388,7.375194
461,15.6862755,10.090412,35.90328786,362.27896,18.113949
462,15.6862755,10.29545,27.62587279,284.4208,14.221041
463,15.6862755,8.106678,45.21537981,366.5465,18.327326
464,15.6862755,10.038776,48.00900739,481.9517,24.097586
465,15.6862755,10.826397,22.24555299,240.83919,12.04196
466,15.686274,8.773649,49.56102272,434.83105,21.741552
467,15.6862755,10.408175,43.4564291,452.30212,22.615107
468,15.6862755,9.746895,47.28473357,460.87933,23.043966
469,15.686274,8.871152,36.73102936,325.84656,16.292328
470,15.6862755,8.401187,61.2528715,514.59686,25.729843
471,15.6862755,9.02042,51.5269088,464.79437,23.23972
472,15.686262,8.744719,62.28754838,544.6871,27.234354
473,15.686274,9.887321,39.83506001,393.86203,19.693102
