Tree_ID,Height_m,Mean_Height_m,Crown_Area_m2,Crown_Volume_m3,AGB_kg
387,44.0,18.147058,0.49577278220628396,8.996818,0.44984087
388,35.0,16.837301,1.224850403097878,20.623177,1.0311588
389,37.0,19.20625,0.7776827956177003,14.936371,0.74681854
390,45.0,15.6203,1.2928976477144267,20.19545,1.0097725
391,36.0,17.751514,0.8019853829807534,14.236456,0.7118228
392,34.0,15.94081,1.5602261087080112,24.87127,1.2435635
393,43.0,16.762196,0.7971248655081428,13.361563,0.6680781
394,46.0,15.781955,1.2928976477144267,20.404453,1.0202227
395,43.0,16.487562,0.976964011994736,16.107756,0.8053878
396,49.0,17.550388,0.6270067539667709,11.004211,0.5502106
397,74.0,19.286713,0.6950539985833196,13.405308,0.6702654
398,42.0,15.769586,1.054732291556506,16.63269,0.8316345
399,59.0,18.189943,0.8700326275973022,15.825845,0.79129225
400,43.0,18.25,0.7193565859463728,13.128258,0.6564129
401,42.0,14.703125,1.5553655912354005,22.868734,1.1434368
402,32.0,18.936363,1.069313843974338,20.248917,1.0124458
403,40.0,16.425703,1.210268850680046,19.879517,0.9939758
404,37.0,18.599174,1.1762452283717717,21.87719,1.0938596
405,33.0,16.332603,2.2212564849830563,36.278904,1.8139452
406,46.0,16.303192,1.8275545697015956,29.794973,1.4897487
407,37.0,18.580128,1.5164814514545155,28.17642,1.408821
408,55.0,16.699247,0.6464488238572134,10.79521,0.53976053
409,37.0,15.361058,2.571213743011022,39.496567,1.9748284
410,43.0,16.895288,0.9283588372686297,15.68489,0.7842445
411,35.0,16.634146,1.1956872982622142,19.889238,0.99446195
412,39.0,17.558823,0.6610303762750452,11.606916,0.5803458
413,50.0,16.40909,1.3901079971666392,22.81041,1.1405205
414,45.0,17.72963,1.3123397176048692,23.267298,1.1633649
415,41.0,17.136986,0.7096355510011515,12.161015,0.60805076
416,53.0,16.134455,0.5784015792406646,9.332193,0.4666097
417,44.0,17.09816,0.7922643480355321,13.546263,0.67731315
418,44.0,16.513813,1.7595073250850468,29.056173,1.4528087
419,37.0,17.056337,1.7254837027767724,29.430433,1.4715217
420,43.0,17.324152,2.294164247072216,39.744453,1.9872227
421,41.0,17.185484,0.6027041666037177,10.357763,0.5178882
422,37.0,16.152285,0.9575219421042935,15.4661665,0.77330834
423,38.0,16.787163,1.4387131718927455,24.151913,1.2075957
424,33.0,14.917526,1.8858807793729233,28.132675,1.4066337
425,34.0,16.642384,1.4678762767284093,24.42896,1.2214481
426,38.0,18.770834,0.4666096773706202,8.758653,0.43793264
427,42.0,15.800971,1.0012665993577892,15.820985,0.79104924
428,43.0,15.918159,1.9004623317907552,30.251862,1.5125932
429,32.0,13.777996,2.474003393558809,34.08681,1.7043406
430,52.0,14.10219,1.9976726812429677,28.17156,1.408578
431,35.0,16.58031,0.938079872213851,15.553657,0.77768284
432,49.0,15.532188,1.132500571118276,17.590214,0.8795107
433,34.0,15.219149,2.2844432121269946,34.76728,1.7383641
434,46.0,16.044445,0.8748931450699128,14.037175,0.70185876
435,32.0,20.229927,1.3317817874953117,26.941849,1.3470925
436,34.0,16.184282,1.7935309473933212,29.027012,1.4513506
437,38.0,16.492064,1.224850403097878,20.200312,1.0100156
438,65.0,17.73611,0.3499572580279651,6.206881,0.31034407
439,45.0,17.915789,0.4617491598980095,8.272601,0.41363007
440,41.0,14.97861,0.9089167673781872,13.614309,0.6807155
441,36.0,13.596154,2.527469085757526,34.36386,1.718193
442,35.0,15.901639,0.8894746974877447,14.144106,0.7072053
443,64.0,17.12,0.364538810445797,6.2409043,0.31204522
444,34.0,16.639097,1.2928976477144267,21.512651,1.0756326
445,32.0,17.013966,1.7400652551946043,29.605413,1.4802707
446,35.0,14.776639,2.371932526633986,35.04919,1.7524595
447,37.0,18.758795,0.9672429770495148,18.144312,0.9072156
448,54.0,16.901516,0.6415883063846027,10.843815,0.54219073
449,31.0,19.084291,1.2685950603513736,24.210238,1.2105119
